Ch,Count
1009,18
1010,20
1011,27
1012,21
1013,26
1014,20
1015,21
1016,26
1017,17
1018,21
1019,22
1020,25
1021,29
1022,18
1023,21
1024,15
1025,29
1026,28
1027,13
1028,16
1029,24
1030,18
1031,21
1032,21
1033,30
1034,26
1035,18
1036,21
1037,25
1038,23
1039,28
1040,18
1041,15
1042,19
1043,17
1044,16
1045,23
1046,23
1047,23
1048,16
1049,29
1050,20
1051,18
1052,18
1053,15
1054,11
1055,21
1056,21
1057,16
1058,15
1059,22
1060,12
1061,18
1062,12
1063,16
1064,14
1065,21
1066,15
1067,14
1068,9
1069,11
1070,11
1071,10
1072,11
1073,16
1074,12
1075,16
1076,9
1077,12
1078,16
1079,8
1080,11
1081,12
1082,9
1083,12
1084,11
1085,14
1086,23
1087,8
1088,10
1089,10
1090,17
1091,11
1092,16
1093,8
1094,11
1095,14
1096,17
1097,15
1098,6
1099,10
1100,13
1101,16
1102,8
1103,8
1104,12
1105,13
1106,12
1107,8
1108,10
1109,6
1110,9
1111,10
1112,14
1113,17
1114,9
1115,6
1116,10
1117,10
1118,13
1119,8
1120,11
1121,10
1122,12
1123,6
1124,12
1125,13
1126,11
1127,9
1128,7
1129,13
1130,6
1131,9
1132,7
1133,10
1134,13
1135,2
1136,8
1137,8
1138,10
1139,11
1140,6
1141,11
1142,4
1143,7
1144,9
1145,6
1146,4
1147,10
1148,10
1149,9
1150,9
1151,4
1152,8
1153,14
1154,2
1155,10
1156,10
1157,4
1158,9
1159,8
1160,13
1161,14
1162,11
1163,12
1164,5
1165,9
1166,7
1167,12
1168,10
1169,7
1170,9
1171,12
1172,10
1173,6
1174,6
1175,9
1176,6
1177,8
1178,6
1179,10
1180,4
1181,6
1182,8
1183,4
1184,6
1185,9
1186,6
1187,7
1188,4
1189,7
1190,3
1191,9
1192,9
1193,2
1194,6
1195,8
1196,8
1197,5
1198,3
1199,8
1200,8
1201,4
1202,10
1203,9
1204,3
1205,5
1206,8
1207,9
1208,4
1209,5
1210,6
1211,3
1212,6
1213,3
1214,4
1215,2
1216,7
1217,3
1218,6
1219,1
1220,3
1221,4
1222,1
1223,2
1224,3
1225,2
1226,4
1227,3
1228,4
1229,3
1230,6
1231,6
1232,2
1233,1
1234,2
1235,2
1236,5
1237,5
1238,4
1239,2
1240,2
1241,4
1242,5
1243,2
1244,5
1245,3
1246,2
1247,4
1248,3
1249,5
1250,1
1251,2
1252,1
1253,3
1254,1
1255,3
1256,2
1257,3
1258,3
1259,2
1260,2
1261,4
1262,5
1263,2
1264,0
1265,1
1266,3
1267,0
1268,2
1269,5
1270,4
1271,3
1272,5
1273,1
1274,1
1275,2
1276,1
1277,1
1278,3
1279,0
1280,3
1281,1
1282,2
1283,5
1284,7
1285,0
1286,1
1287,4
1288,2
1289,4
1290,4
1291,4
1292,1
1293,1
1294,0
1295,1
1296,1
1297,5
1298,3
1299,3
1300,0
1301,2
1302,0
1303,2
1304,1
1305,3
1306,3
1307,3
1308,2
1309,1
1310,1
1311,3
1312,3
1313,1
1314,2
1315,1
1316,3
1317,2
1318,4
1319,2
1320,3
1321,2
1322,3
1323,5
1324,2
1325,7
1326,5
1327,1
1328,2
1329,2
1330,5
1331,3
1332,2
1333,3
1334,3
1335,3
1336,4
1337,3
1338,3
1339,5
1340,3
1341,3
1342,1
1343,5
1344,2
1345,2
1346,1
1347,1
1348,1
1349,2
1350,5
1351,5
1352,2
1353,1
1354,4
1355,3
1356,4
1357,7
1358,4
1359,6
1360,6
1361,4
1362,7
1363,4
1364,4
1365,2
1366,4
1367,5
1368,5
1369,4
1370,7
1371,2
1372,6
1373,3
1374,5
1375,2
1376,4
1377,1
1378,3
1379,5
1380,5
1381,4
1382,3
1383,4
1384,7
1385,3
1386,2
1387,8
1388,7
1389,8
1390,6
1391,2
1392,7
1393,4
1394,1
1395,5
1396,5
1397,3
1398,3
1399,2
1400,6
1401,2
1402,1
1403,7
1404,2
1405,1
1406,2
1407,4
1408,1
1409,2
1410,1
1411,4
1412,4
1413,3
1414,1
1415,1
1416,3
1417,2
1418,2
1419,0
1420,2
1421,3
1422,3
1423,4
1424,1
1425,2
1426,3
1427,1
1428,2
1429,1
1430,0
1431,4
1432,3
1433,1
1434,1
1435,3
1436,2
1437,4
1438,2
1439,1
1440,1
1441,1
1442,0
1443,1
1444,1
1445,0
1446,3
1447,3
1448,3
1449,0
1450,1
1451,2
1452,1
1453,3
1454,1
1455,1
1456,0
1457,0
1458,1
1459,0
1460,0
1461,0
1462,2
1463,2
1464,0
1465,2
1466,0
1467,0
1468,2
1469,1
1470,0
1471,1
1472,1
1473,2
1474,2
1475,0
1476,0
1477,2
1478,0
1479,1
1480,0
1481,1
1482,0
1483,0
1484,1
1485,3
1486,1
1487,1
1488,0
1489,0
1490,2
1491,1
1492,4
1493,0
1494,1
1495,3
1496,4
1497,1
1498,3
1499,3
1500,1
1501,1
1502,3
1503,2
1504,1
1505,2
1506,3
1507,0
1508,1
1509,1
1510,4
1511,1
1512,1
1513,3
1514,3
1515,0
1516,4
1517,0
1518,3
1519,4
1520,4
1521,0
1522,3
1523,0
1524,3
1525,0
1526,0
1527,4
1528,1
1529,1
1530,2
1531,4
1532,0
1533,2
1534,6
1535,0
1536,4
1537,1
1538,1
1539,1
1540,1
1541,1
1542,3
1543,0
1544,2
1545,2
1546,0
1547,0
1548,1
1549,2
1550,0
1551,1
1552,0
1553,1
1554,1
1555,0
1556,4
1557,0
1558,0
1559,1
1560,0
1561,0
1562,0
1563,3
1564,0
1565,1
1566,1
1567,1
1568,0
1569,1
1570,1
1571,0
1572,1
1573,0
1574,0
1575,1
1576,0
1577,1
1578,1
1579,2
1580,1
1581,1
1582,0
1583,0
1584,0
1585,0
1586,1
1587,0
1588,0
1589,0
1590,1
1591,0
1592,0
1593,1
1594,0
1595,0
1596,2
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,1
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,1
1614,1
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,1
1622,0
1623,1
1624,1
1625,0
1626,0
1627,1
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,1
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,1
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,1
1692,0
1693,0
1694,0
1695,1
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,1
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,1
1719,0
1720,0
1721,0
1722,1
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,2
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,1
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,1
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,1
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,1
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
